name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
Azur,"tonka,musk,drywood,vanilla",Unisex,"artemisiacedarwood,neroli",https://www.noon.com/uae-en/azur-edp-100ml/N38430201A/p?o=e5afe89ac8b321ee,Woody,100ml,"bergamot,juniperberry,marastarwaberry",115.0,EDP
Elixir Gold,"cedarwood,amber,gaiacwood,vanilla",Unisex,"coco,rose,honey,safran",https://www.noon.com/uae-en/elixir-gold-edp-100ml/N38706495A/p?o=b17c2a2695165cff,Spicy,100ml,"cardamom,pine",99.65,EDP
Elixir Platinum,"vanilla,musk,russianleather",Unisex,"amber,cedar,apricot,chamomile",https://www.noon.com/uae-en/elixir-platinum-parfum-100ml/N38706489A/p?o=e5f2bbceb94f64be,Spicy,100ml,,455.8,Parfum
Gold,"cedarwood,amber,gaiacwood,vanilla",Unisex,"coco,rose,honey,safran",https://www.noon.com/uae-en/gold-edp-100ml/N38430199A/p?o=bb1da3a0380cb78a,Spicy,100ml,"cardamom,pine",149.0,EDP
Neroli,"cedarwood,musk,tonka",Unisex,"neroli,violet,ginger,gardenia",https://www.noon.com/uae-en/neroli-edp-100ml/N38430203A/p?o=d3b5654cbaa6d23f,Woody,100ml,"tonicorange,mint,bergamot,whitetea",91.0,EDP
Rise Of The Superb,"patchouli,amber,vetyver",Unisex,"chili,geranium,orangeblossom",https://www.noon.com/uae-en/rise-of-the-superb-edp-100ml/N38430204A/p?o=f5ba7bac44b7ecab,Woody,100ml,"bergamot,orange,artemisia",97.0,EDP
AERIN Amber Musk,"benzoin,musk",Women,"coconutwater,rosecentifolia",https://www.noon.com/uae-en/amber-musk-edp-100ml/N36969281A/p?o=dba91fbf760420da,,100ml,,999.0,EDP
AERIN Ikat Jasmine,sandalwood,Women,"jasminesambac,egyptianjasmine,tuberose",https://www.noon.com/uae-en/ikat-jasmine-edp-50ml/N36969284A/p?o=c0814b689b48e2bf,Floral,50ml,,299.0,EDP
AHJAAR Vintage Rose,"patchouli,amber,musk,agarwood",Unisex,"myrrh,saffron,rose",https://www.noon.com/uae-en/vintage-rose-edp-100ml/N11074588A/p?o=b439309b0ee825cf,,100ml,"cardamom,lemon,cinnamon",185.0,EDP
AHMED Agarwood,"vanilla,woody",Unisex,roses,https://www.noon.com/uae-en/agarwood-edp-75ml/N42309021A/p?o=b51d1dc92e18137a,,75ml,,136.0,EDP
